param_name, val, min, max
ena,55,35,75
Rd,0.03,-19.97,20.03
Rg,0.01,-19.99,20.01
Rb,0.125,-19.875,20.125
Ra,0.4,-19.6,20.4
a0s,0.0003,6.00E-05,1.50E-03
gms,0.2,-19.8,20.2
hmin,0.01,-19.99,20.01
mmin,0.02,-19.98,20.02
qinf,7,1.4,35
q10,2,-18,22
qg,1.5,0.3,7.5
qd,0.5,0.1,2.5
qa,7.2,1.44,36
smax,10,-10,30
sh,8,-12,28
thinf,-45,-65,-25
thi2,-45,-65,-25
thi1,-45,-65,-25
tha,-30,-50,-10
vvs,2,-18,22
vvh,-58,-78,-38
vhalfs,-60,-80,-40
zetas,12,-8,32
