param_name, val, min, max
a1_0, 14.90266473416929, 0, 14902664.73416929
a1_1, 0.23264458213057818, 0, 232644.58213057818
b1_0, 0.035170517422827195, 0, 35170.517422827195
b1_1, 0.5174274669229642, 0, 517427.4669229642
a2_0, 179.26203746615033, 0, 179262037.46615033
a2_1, 0.2051524889557108, 0, 205152.4889557108
b2_0, 5.0278233275136515, 0, 5027823.3275136515
b2_1, 0.6011265377611984, 0, 601126.5377611984
a3_0, 45.5734036380168, 0, 45573403.6380168
a3_1, 0.25742516900913953, 0, 257425.16900913953
b3_0, 3.91186678099864, 0, 3911866.78099864
b3_1, 0.05624687664719668, 0, 56246.87664719668
bh_0, 20.437375530859402, 0, 20437375.530859402
bh_1, 2.586420958687835, 0, 2586420.958687835
bh_2, 0.21816806259636728, 0, 218168.06259636728
ah_0, 0.16075323947800216, 0, 160753.23947800216
ah_1, 317.7857883178585, 0, 317785788.3178585
ah_2, 0.21355372724438573, 0, 213553.72724438573
vShift, 2.93674306544398,  -1893674.306544398,  2293674.306544398
vShift_inact, 4.972685261796128, -1697268.5261796128, 2497268.5261796128
