param_name,  val,  min,  max
a1_0,45.8498,0,1000
a1_1,0.0239,0,2
b1_0,0.0144,0,10
b1_1,0.0885,0,0.4424
a2_0,19.8084,0,200
a2_1,0.0222,0,0.1
b2_0,0.565,0,10
b2_1,0.0611,0,0.01
a3_0,71.8119,0,359.0595
a3_1,0.0659,0,0.3297
b3_0,0.7531,0,100
b3_1,0.0365,0,0.1
bh_0,2.8301,0,4
bh_1,0.289,0,1.445
bh_2,0.0696,0.0139,0.348
ah_0,0.5758,0,10
ah_1,163,0,10000
ah_2,0.0268,0,0.1
vShift,10,-60,60
vShift_inact,10,-60,60
maxrate,8000,1600,100000
ahfactor,1,0.2,5
bhfactor,1,0.2,5
