param_name, val, min, max
Ena,55,50,60
Rd,0.03,0.029,0.031
Rg,0.01,0.009,0.011
Rb,0.124,0.12,0.13
Ra,0.4,0.3,0.5
a0s,0.0003,1.50E-04,6.00E-04
gms,0.2,0.1,0.3
hmin,0.01,0.009,0.011
mmin,0.02,0.019,0.021
qinf,7,3.5,14
q10,2,0,4
qg,1.5,0.75,3
qd,0.5,0.25,1
qa,7.2,3.6,14.4
smax,10,5,15
sh,8,3,13
thinf,-45,-50,-40
thi2,-45,-50,-40
thi1,-45,-50,-40
tha,-35,-40,-30
vvs,2,-3,7
vvh,-58,-63,-53
vhalfs,-60,-65,-55
zetas,12,7,17
