param_name, val, min, max
Ena,55,50,60
Rd,0.03,0.001,0.1
Rg,0.01,0.001,0.1
Rb,0.124,0.01,1
Ra,0.4,0.01,1
a0s,0.0003,1.50E-05,6.00E-02
gms,0.2,0.01,1
hmin,0.01,0.0001,0.1
mmin,0.02,0.0001,0.1
qinf,7,1,70
q10,2,0,10
qg,1.5,0,10
qd,0.5,0,10
qa,7.2,1,70
smax,10,1,100
sh,8,1,30
thinf,-45,-100,-10
thi2,-45,-100,-10
thi1,-45,-100,-10
tha,-35,-100,-10
vvs,2,-20,30
vvh,-58,-100,-10
vhalfs,-60,-100,-10
zetas,12,1,50
