param_name," val"," min"," max"
Ena,55,45,65
Rd,0.02657,0.0001,0.3
Rg,0.01,0.0001,0.3
Rb,0.1,0.001,3
Ra,0.3282,0.001,3
a0s,0.0003,1.00E-06,1.50E-01
gms,0.2,0.001,4
hmin,0.01,0.00001,0.9
mmin,0.02,0.00001,0.9
qinf,7.69,0.2,150
q10,2,0,40
qg,1.5,0,40
qd,0.5,0,40
qa,5.41,0.05,150
smax,10,0.05,200
sh,8,0.05,80
thinf,-45,-200,-1
thi2,-30,-200,-1
thi1,-37.651,-200,-1
tha,-28.76,-200,-1
vvs,2,-80,120
vvh,-58,-200,-1
vhalfs,-60,-200,-1
zetas,12,0.05,140
,,,
