Ena_na12mut,63.3762783791886
Rd_na12mut,5.638938458937071
Rg_na12mut,-4.115279520272535
Rb_na12mut,-5.125335321894519
Ra_na12mut,6.924190155543643
a0s_na12mut,0.0003015750022384794
gms_na12mut,0.12944288354649913
hmin_na12mut,-8.291348053446185
mmin_na12mut,-3.8789088986366913
qinf_na12mut,5.0210739666785225
q10_na12mut,-4.281507946153302
qg_na12mut,1.7894138571748286
qd_na12mut,0.8444747599558433
qa_na12mut,3.939214617367433
smax_na12mut,6.865661557710576
sh_na12mut,5.877767042832606
thinf_na12mut,-49.51908968364952
thi2_na12mut,-35.2485233176139
thi1_na12mut,-40.85839586497074
tha_na12mut,-24.98467013133032
vvs_na12mut,8.30764792544295
vvh_na12mut,-66.43942535357509
vhalfs_na12mut,-53.236858649251644
zetas_na12mut,7.992919556329317
exp,M1879 T and R1626Q
name,NaV12 adult R1626Q
